epoch,tr_loss,tr_iou,tr_dice,vl_loss,vl_iou,vl_dice,lr,time_s
1,0.953,0.6263,0.7361,0.5787,0.7996,0.8869,0.0001,124.9
2,0.4685,0.7791,0.8716,0.3438,0.8219,0.9003,0.0001,126.1
3,0.3188,0.8056,0.8896,0.3113,0.8156,0.8952,0.0001,132.2
4,0.265,0.8205,0.8993,0.2429,0.8356,0.9089,0.0001,122.7
5,0.228,0.839,0.9107,0.2381,0.8332,0.9073,9.9e-05,105.4
6,0.2129,0.8434,0.9135,0.2354,0.8349,0.9083,9.9e-05,103.5
7,0.1988,0.8509,0.9183,0.2435,0.8278,0.904,9.9e-05,102.0
8,0.1874,0.8558,0.9212,0.2411,0.8296,0.9046,9.8e-05,101.6
9,0.1845,0.8573,0.9221,0.2278,0.8383,0.9104,9.8e-05,102.8
10,0.1744,0.8638,0.926,0.2403,0.8325,0.9065,9.8e-05,106.6
11,0.1708,0.8654,0.9269,0.2493,0.8268,0.9027,9.7e-05,101.1
12,0.1658,0.8682,0.9287,0.2442,0.8326,0.9066,9.7e-05,103.9
13,0.1586,0.8723,0.9311,0.249,0.8277,0.9033,9.6e-05,102.5
14,0.1576,0.875,0.9327,0.2607,0.826,0.9019,9.5e-05,102.2
15,0.1505,0.878,0.9345,0.2743,0.8167,0.8961,9.5e-05,104.4
16,0.1485,0.8798,0.9354,0.2342,0.8377,0.9098,9.4e-05,102.8
17,0.1521,0.8775,0.9338,0.2375,0.8369,0.9092,9.3e-05,104.3
18,0.1443,0.8813,0.9363,0.2375,0.8362,0.9091,9.2e-05,105.7
19,0.1428,0.8833,0.9374,0.2458,0.8366,0.9092,9.1e-05,102.7
20,0.1424,0.8843,0.9381,0.2515,0.8298,0.9052,9.1e-05,104.6
21,0.1354,0.8882,0.9404,0.2558,0.8323,0.9066,9e-05,102.0
22,0.1345,0.8893,0.9409,0.2506,0.8343,0.9077,8.9e-05,102.6
23,0.1315,0.8911,0.942,0.2513,0.8355,0.9082,8.8e-05,101.1
24,0.1342,0.8886,0.9403,0.2497,0.8351,0.9083,8.7e-05,108.0
